298
Gl 438,-5.17912,0.37896,-6.60677,1.53,0.700050656
Gl 877,2.08009,-0.59844,-8.343,1.485,0.700050427
Gl 623,-2.17082,-4.88369,6.00985,1.475,0.700050408
Gl 358,-5.85877,4.11076,-6.23656,1.521,0.7000464
Gl 687,-0.17148,-1.66227,4.2083,1.505,0.700044824
Kapteyn's Star,0.58078,2.70835,-2.77036,1.543,0.700043826
Wo 9492,-3.04109,-2.60577,9.01856,1.615,0.700043264
Gl 618  A,-2.83769,-6.09013,-5.16136,1.55,0.700042826
Gl 408,-5.89765,1.57819,2.57059,1.525,0.700042655
Gl 388,-4.17713,1.95586,1.66701,1.54,0.700041769
Gl 166  B,2.20178,4.48907,-0.668,0.03,0.700039563
Gl 745  B,2.39454,-7.92798,3.1588,1.57,0.700038985
Gl 667  C,-1.01885,-5.61907,-3.99797,1.57,0.700038928
NN 3126,3.81183,2.23627,8.97045,1.54,0.700038696
Gl 793,2.01955,-2.61951,7.24081,1.542,0.700038508
Gl 625,-1.54053,-3.5179,5.34541,1.591,0.700038404
Gl 896  A,5.829,-0.71922,2.13041,1.19,0.700037247
Gl 745  A,2.32624,-7.71735,3.07615,1.57,0.700036594
Gl 674,-0.42264,-3.07118,-3.31206,1.553,0.700036401
Gl 357,-6.7495,4.90264,-3.31273,1.572,0.700034817
Gl 109,5.13825,4.47643,3.25398,1.53,0.700034334
Gl 725  A,0.33498,-1.77268,3.07814,1.504,0.700033763
Gl 695  C,-0.43956,-7.42237,3.90798,0.4,0.700033742
Gl 829,5.0916,-3.92094,2.04379,1.62,0.700033528
Gl 251,-1.14177,4.67856,3.16057,1.57,0.700032849
Gl 257  A,-1.43309,5.56222,-5.60346,1.636,0.700030509
Gl 244  B,-0.49475,2.47692,-0.75772,-0.03,0.70002923
Gl 661  B,-0.91617,-4.32053,4.52384,0.4,0.700027626
Gl 465,-8.39129,-0.91395,-2.78122,1.574,0.700024269
Kruger 60,1.97146,-0.83676,3.38744,1.613,0.700023404
Gl 581,-4.00418,-4.74919,-0.84232,1.6,0.70002322
Gl 867  B,7.58538,-2.80856,-3.04355,1.6,0.700019619
Gl 873,3.42872,-1.1333,3.52831,1.54,0.700019488
GJ 1125,-7.67984,5.85319,0.0546,1.588,0.700019276
Gl 876,4.36497,-1.30811,-1.15829,1.597,0.700019051
NN 4248,6.95119,-3.91531,-6.02919,1.65,0.700019028
Gl 486,-7.91635,-1.681,1.39097,1.563,0.700018717
NN 3325,2.16543,8.57929,-2.76823,1.661,0.700017768
NN 4063,0.92742,-6.09632,5.19722,1.42,0.70001756
Gl 693,-0.1835,-3.13275,-4.89109,1.66,0.7000169
Luyten's Star,-1.40787,3.51092,0.34656,1.573,0.700016694
Gl 628,-1.5871,-3.84593,-0.93454,1.604,0.700016558
Gl 725  B,0.3301,-1.74669,3.03258,1.561,0.700016263
Gl 318,-4.84268,5.6896,-4.84467,0.22,0.700014011
Gl 445,-1.05581,0.05693,5.28671,1.572,0.700013887
Gl 257  B,-1.43478,5.56195,-5.60329,0.4,0.700013428
NN 3801,-6.85521,-3.29633,4.99502,2.4,0.700012742
Gl 595,-4.37862,-6.37867,-2.73511,1.591,0.700012457
NN 3135,6.9808,4.2701,-4.75834,1.719,0.700012344
NN 4285,2.60991,-0.97676,-6.20574,0.4,0.700012147
Gl 747  A,2.00007,-6.57974,4.38599,1.7,0.700011971
